Column1,audienceScore_predict,audienceScore,id
#VALUE!,92.83264787,92,1
#VALUE!,72.79038362,71,2
#VALUE!,65.52628992,67,3
#VALUE!,18.14249087,20,4
#VALUE!,47.08697736,46,5
#VALUE!,77.19649409,79,6
#VALUE!,46.25441245,46,7
#VALUE!,74.19313222,74,8
#VALUE!,83.96403705,78,9
#VALUE!,59.1921229,60,10
#VALUE!,51.01604375,54,11
#VALUE!,25.63095436,23,12
#VALUE!,41.6328109,41,13
#VALUE!,91.29775753,90,14
#VALUE!,48.44241217,49,15
#VALUE!,40.51991069,34,16
#VALUE!,45.90461527,46,17
#VALUE!,74.93771054,76,18
#VALUE!,68.12542241,78,19
#VALUE!,78.00589741,77,20
#VALUE!,42.8228278,41,21
#VALUE!,24.91021643,26,22
#VALUE!,46.63041368,45,23
#VALUE!,67.85974551,69,24
#VALUE!,66.83915843,71,25
#VALUE!,75.94904389,74,26
#VALUE!,84.02818901,84,27
#VALUE!,81.58039819,82,28
#VALUE!,80.67315417,80,29
#VALUE!,84.02314552,84,30
#VALUE!,98.29190607,97,31
#VALUE!,66.47594756,69,32
#VALUE!,58.24290906,57,33
#VALUE!,72.66984599,75,34
#VALUE!,72.99239716,72,35
#VALUE!,48.87555535,49,36
#VALUE!,79.05080371,82,37
#VALUE!,24.976069,22,38
#VALUE!,55.53548024,67,39
#VALUE!,68.32906078,69,40
#VALUE!,59.43061507,42,41
#VALUE!,58.58936409,66,42
#VALUE!,25.44170051,39,43
#VALUE!,75.81725925,75,44
#VALUE!,58.64942636,79,45
#VALUE!,81.09725195,84,46
#VALUE!,57.81099612,55,47
#VALUE!,66.01518793,70,48
#VALUE!,67.86736306,68,49
#VALUE!,72.65502472,72,50
#VALUE!,75.93245298,69,51
#VALUE!,63.33830534,61,52
#VALUE!,73.38265646,79,53
#VALUE!,82.6004242,86,54
#VALUE!,88.99125143,89,55
#VALUE!,55.46192226,65,56
#VALUE!,53.25514405,54,57
#VALUE!,72.56869887,86,58
#VALUE!,46.71706728,42,59
#VALUE!,76.24376203,75,60
#VALUE!,86.91107743,82,61
#VALUE!,55.20178367,88,62
